id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60
41339,180050,26.0,30.0,41.1501,,5.0,1.0,3.0,2.0,240,2.0,2.0,1125.0,1125.0,2.0,1125.0,,13,35
55111,259711,3.0,3.0,41.17418,,5.0,2.0,4.0,,28,,,28.0,28.0,,28.0,,29,42
73828,259711,3.0,3.0,41.17622,,5.0,2.0,4.0,,28,,,28.0,28.0,5.0,28.0,,29,54
87873,480980,4.0,6.0,41.15607,-8.60437,4.0,2.0,2.0,3.0,15,3.0,3.0,15.0,15.0,3.0,15.0,,4,10
94701,505473,1.0,7.0,41.14675,-8.60186,3.0,1.0,1.0,3.0,365,3.0,,1125.0,1125.0,3.7,1125.0,,30,41
96394,511741,1.0,1.0,41.14296,,4.0,2.0,3.0,1.0,5,1.0,1.0,5.0,5.0,1.0,5.0,,0,0
100521,528145,1.0,1.0,,,1.0,,3.0,1.0,730,1.0,1.0,730.0,730.0,1.0,730.0,,0,0
104045,541968,1.0,1.0,41.1605,-8.59871,,,3.0,2.0,120,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,0
105347,544104,1.0,1.0,41.12944,-8.58565,4.0,2.0,3.0,,30,,,30.0,30.0,4.9,30.0,,11,16
108153,559704,2.0,4.0,,-8.61693,2.0,,3.0,2.0,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,,11,29
122362,613350,1.0,1.0,41.17576,-8.6232,,,6.0,2.0,730,2.0,2.0,730.0,730.0,2.0,730.0,,4,5
127208,630252,1.0,1.0,41.1546,-8.58985,2.0,1.0,4.0,2.0,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,,11,16
134570,660293,1.0,2.0,,,,3.0,5.0,3.0,27,3.0,3.0,27.0,27.0,3.0,27.0,,21,50
139425,680010,7.0,14.0,41.14622,-8.59423,6.0,2.0,3.0,2.0,31,2.0,3.0,31.0,1125.0,2.0,558.5,,2,6
141255,663708,1.0,3.0,,,4.0,2.0,2.0,3.0,90,3.0,3.0,90.0,90.0,3.0,90.0,,0,21
